datasetURI,distributionURI,accessURL,mediaType,catalogTitle,,,,
http://data.europa.eu/88u/dataset/7355-luchtfoto-2016-10cm-rgb,http://data.europa.eu/88u/distribution/198834b6-f8b0-4717-adf2-2b2acd91bff2,https://github.com/kadaster/metagegevens-voorbeelden/raw/master/Beeldmateriaal_HR.JPG,,Dataportaal van de Nederlandse overheid,,,,
http://data.europa.eu/88u/dataset/6802-luchtfoto-2013-25cm-cir,http://data.europa.eu/88u/distribution/d607d4bc-1525-4039-a5c3-d99c8d334e77,https://github.com/kadaster/metagegevens-voorbeelden/raw/master/Beeldmateriaal_LRCIR.JPG,,Dataportaal van de Nederlandse overheid,,,,
http://data.europa.eu/88u/dataset/6511-luchtfoto-2013-25cm-rgb,http://data.europa.eu/88u/distribution/1d8019e3-8daa-446b-b99a-9eba1683a019,https://github.com/kadaster/metagegevens-voorbeelden/raw/master/Beeldmateriaal_LR.JPG,,Dataportaal van de Nederlandse overheid,,,,
http://data.europa.eu/88u/dataset/10953-luchtfoto-2013-10cm-rgb,http://data.europa.eu/88u/distribution/32af98f8-b257-4219-ad8d-55d063d79c4b,https://github.com/kadaster/metagegevens-voorbeelden/raw/master/Beeldmateriaal_HR.JPG,,Dataportaal van de Nederlandse overheid,,,,
http://data.europa.eu/88u/dataset/pa-digitale-2026-pnrr-candidature-finanziate-1-4-4-adozione-identita-digitale,http://data.europa.eu/88u/distribution/39b1f677-4677-4cc7-8639-453f1b787617,https://raw.githubusercontent.com/teamdigitale/padigitale2026-opendata/main/data/candidature_finanziate_145.csv,text/csv,dati.gov.it,,,,
http://data.europa.eu/88u/dataset/pdnd-enti-che-pubblicano-piu-e-service-inizio-del-servizio,http://data.europa.eu/88u/distribution/f30c4bac-e104-452d-8158-21e753333c5a,https://raw.githubusercontent.com/italia/pdnd-opendata/main/data/enti_che_pubblicano_piu_e_service_from_the_beginning.csv,text/csv,dati.gov.it,,,,
http://data.europa.eu/88u/dataset/pa-digitale-2026-pnrr-candidature-finanziate-1-4-4-adozione-identita-digitale,http://data.europa.eu/88u/distribution/adfe8d06-8e38-476c-bdca-585b2e102c7b,https://raw.githubusercontent.com/teamdigitale/padigitale2026-opendata/main/data/candidature_finanziate_144.json,application/json,dati.gov.it,,,,
http://data.europa.eu/88u/dataset/pdnd-enti-che-pubblicano-piu-e-service-inizio-del-servizio,http://data.europa.eu/88u/distribution/db0db0f3-ace3-4b31-85f6-cd7188c34ad7,https://raw.githubusercontent.com/italia/pdnd-opendata/main/data/enti_che_pubblicano_piu_e_service_from_the_beginning.json,application/json,dati.gov.it,,,,
http://data.europa.eu/88u/dataset/pa-digitale-2026-pnrr-candidature-finanziate-1-4-4-adozione-identita-digitale,http://data.europa.eu/88u/distribution/a9221ef8-4ca7-471e-a6bc-65f102906e21,https://raw.githubusercontent.com/teamdigitale/padigitale2026-opendata/main/data/candidature_finanziate_144.csv,text/csv,dati.gov.it,,,,
http://data.europa.eu/88u/dataset/pa-digitale-2026-pnrr-candidature-finanziate-1-4-4-adozione-identita-digitale,http://data.europa.eu/88u/distribution/230574c2-a6ee-4490-900a-cf34056f5fbd,https://raw.githubusercontent.com/teamdigitale/padigitale2026-opendata/main/data/candidature_finanziate_145.json,application/json,dati.gov.it,,,,
http://data.europa.eu/88u/dataset/45494-vervoersnetwerken-waterwegen-transport-networks-water-inspire-geharmoniseerd-,http://data.europa.eu/88u/distribution/8543b90b-6b0a-478c-bf00-919e9cf644ea,https://github.com/kadaster/top10nl/raw/master/TOP10NL.JPG,,Dataportaal van de Nederlandse overheid,,,,
http://data.europa.eu/88u/dataset/3664f2ad-7682-4dd8-9b53-39a0a2543899,http://data.europa.eu/88u/distribution/b90837f3-1276-48b0-a9af-4f69f6394bb1,https://topicmaps-wuppertal.github.io/luftmessstationen/,,GovData,,,,
http://data.europa.eu/88u/dataset/e8b86541-32da-4bdb-be31-fe766dec6d6a,http://data.europa.eu/88u/distribution/14a51f7c-4e94-41df-b413-8e11cab5db49,https://digital-twin-wuppertal-live.github.io/rainhazardmap/#/hoehen?bg=1&amp%3Blat=51.27272514043052&amp%3Blng=7.199287712574006&amp%3BselectedSimulation=2&amp%3Bzoom=19,,GovData,,,,
http://data.europa.eu/88u/dataset/a3911a29-2ffd-4f8a-a41f-d90786759218,http://data.europa.eu/88u/distribution/ea33e795-06c9-4db8-83f2-9f0de6ddc626,https://digital-twin-wuppertal-live.github.io/rainhazardmap/#/hoehen?bg=1&amp%3Blat=51.27272514043052&amp%3Blng=7.199287712574006&amp%3BselectedSimulation=0&amp%3Bzoom=19,,GovData,,,,
http://data.europa.eu/88u/dataset/a7304450-6246-4bf4-86ac-b9bfb91d3554,http://data.europa.eu/88u/distribution/714a546c-754a-4797-9450-ae6c21293e3f,https://topicmaps-wuppertal.github.io/luftmessstationen/,,GovData,,,,
http://data.europa.eu/88u/dataset/referentiel-devaluation-de-laccessibilite-web,http://data.europa.eu/88u/distribution/20cb9ce6-6772-4387-a332-02a7e18e726b,https://github.com/accessibility-luxembourg/ReferentielAccessibiliteWeb,,La plateforme de données luxembourgeoise,,,,
http://data.europa.eu/88u/dataset/5505-brt-terugmeldingen,http://data.europa.eu/88u/distribution/fef56c62-20b3-4c05-a05c-200a394be288,https://github.com/kadaster/metagegevens-voorbeelden/raw/master/Terugmeldingen_BRT.jpg,,Dataportaal van de Nederlandse overheid,,,,
http://data.europa.eu/88u/dataset/47931-luchtfoto-beeldmateriaal-2023-25cm-rgb-open-data,http://data.europa.eu/88u/distribution/d1d634b6-336c-44c5-b474-557b639734ed,https://github.com/kadaster/metagegevens-voorbeelden/raw/master/Beeldmateriaal_LR.JPG,,Dataportaal van de Nederlandse overheid,,,,
http://data.europa.eu/88u/dataset/6316-luchtfoto-2017-10cm-rgb,http://data.europa.eu/88u/distribution/e6072353-322b-4b6e-8e5f-fd295a6136ad,https://github.com/kadaster/metagegevens-voorbeelden/raw/master/Beeldmateriaal_HR.JPG,,Dataportaal van de Nederlandse overheid,,,,
http://data.europa.eu/88u/dataset/5939-top50nl,http://data.europa.eu/88u/distribution/c6294b71-f820-4590-86f9-229d2b079142,https://github.com/kadaster/top50nl/raw/master/TOP50NL.JPG,,Dataportaal van de Nederlandse overheid,,,,
http://data.europa.eu/88u/dataset/10968-top25raster,http://data.europa.eu/88u/distribution/b50a4caf-507c-41a8-ba21-7cc535ca14ea,https://github.com/kadaster/top10nl/raw/master/TOP25raster.JPG,,Dataportaal van de Nederlandse overheid,,,,
http://data.europa.eu/88u/dataset/subentro-liste-elettorali,http://data.europa.eu/88u/distribution/b7c231c2-6b0b-4830-9984-4b79a65c25c9,https://raw.githubusercontent.com/italia/anpr-opendata/main/data/subentro_liste_elettorali_export.json,application/json,dati.gov.it,,,,
http://data.europa.eu/88u/dataset/segnalazioni-aggiornate-da-terremotocentroitalia,http://data.europa.eu/88u/distribution/9edc698a-d631-4fe4-83ff-c24835c218ce,https://raw.githubusercontent.com/emergenzeHack/terremotocentro/master/_data/issues.geojson,application/geo+json,dati.gov.it,,,,
http://data.europa.eu/88u/dataset/dgc-acquisiti,http://data.europa.eu/88u/distribution/5a0a0f2f-289f-48d7-b111-0d4727b4c706,https://raw.githubusercontent.com/ministero-salute/it-dgc-opendata/master/data/dgc-acquired-latest.csv,text/csv,dati.gov.it,,,,
http://data.europa.eu/88u/dataset/pdnd-enti-con-piu-connessioni-abilitate-inizio-del-servizio,http://data.europa.eu/88u/distribution/577e2ddd-78a1-41d8-adac-5b23c0aca261,https://raw.githubusercontent.com/italia/pdnd-opendata/main/data/enti_con_piu_connessioni_abilitate_from_the_beginning.csv,text/csv,dati.gov.it,,,,
http://data.europa.eu/88u/dataset/pdnd-enti-che-pubblicano-piu-e-service-ultimi-12-mesi,http://data.europa.eu/88u/distribution/f42bbdc0-1b05-423e-afc9-0d3414c4ecc8,https://raw.githubusercontent.com/italia/pdnd-opendata/main/data/enti_che_pubblicano_piu_e_service_last_twelve_months.json,application/json,dati.gov.it,,,,
http://data.europa.eu/88u/dataset/segnalazioni-aggiornate-da-terremotocentroitalia,http://data.europa.eu/88u/distribution/4a228e05-d52f-47d5-b035-d06db7a819ec,https://raw.githubusercontent.com/emergenzeHack/terremotocentro/master/_data/issuesjson.json,application/json,dati.gov.it,,,,
http://data.europa.eu/88u/dataset/dgc-acquisiti,http://data.europa.eu/88u/distribution/e435c25b-56ed-4014-ac30-321de6b0713b,https://raw.githubusercontent.com/ministero-salute/it-dgc-opendata/master/data/dgc-acquired.csv,text/csv,dati.gov.it,,,,
http://data.europa.eu/88u/dataset/segnalazioni,http://data.europa.eu/88u/distribution/562c8a9b-549d-40e4-87d4-fc847ad5a68d,https://raw.githubusercontent.com/emergenzeHack/covid19italia_data/master/issues.csv,"text/csv, text/csv",dati.gov.it,,,,
http://data.europa.eu/88u/dataset/accessi-famiglie,http://data.europa.eu/88u/distribution/b1c86584-0179-4de9-b3be-e978f850dba3,https://raw.githubusercontent.com/italia/anpr-opendata/main/data/accessi_famiglie_export.csv,text/csv,dati.gov.it,,,,
http://data.europa.eu/88u/dataset/pdnd-enti-che-pubblicano-piu-e-service-ultimi-12-mesi,http://data.europa.eu/88u/distribution/588debde-c1aa-46cd-9649-f33e19f42196,https://raw.githubusercontent.com/italia/pdnd-opendata/main/data/enti_che_pubblicano_piu_e_service_last_twelve_months.csv,text/csv,dati.gov.it,,,,
http://data.europa.eu/88u/dataset/storie-di-successo-di-terremotocentroitalia,http://data.europa.eu/88u/distribution/89acde88-a02d-447e-a0a7-b07bd8f9c265,https://raw.githubusercontent.com/emergenzeHack/terremotocentro/master/_data/storie.csv,text/csv,dati.gov.it,,,,
http://data.europa.eu/88u/dataset/dgc-acquisiti,http://data.europa.eu/88u/distribution/d3a9bc6c-516c-491b-b64a-f6400bcdeeb9,https://raw.githubusercontent.com/ministero-salute/it-dgc-opendata/master/data/dgc-acquired-latest.json,application/json,dati.gov.it,,,,
http://data.europa.eu/88u/dataset/segnalazioni,http://data.europa.eu/88u/distribution/03f77741-9956-48e4-beb8-96067f5a7d5f,https://raw.githubusercontent.com/emergenzeHack/covid19italia_data/master/issuesjson.json,application/json,dati.gov.it,,,,
http://data.europa.eu/88u/dataset/accessi-famiglie,http://data.europa.eu/88u/distribution/03252bae-4f05-4e11-bc58-a295f0cae462,https://raw.githubusercontent.com/italia/anpr-opendata/main/data/accessi_famiglie_export.json,application/json,dati.gov.it,,,,
http://data.europa.eu/88u/dataset/segnalazioni,http://data.europa.eu/88u/distribution/b731c32a-779f-428d-9d3b-222e6d696400,https://raw.githubusercontent.com/emergenzeHack/covid19italia_data/master/issues.geojson,application/geo+json,dati.gov.it,,,,
http://data.europa.eu/88u/dataset/subentro-liste-elettorali,http://data.europa.eu/88u/distribution/8eaaa88d-171a-4b53-87c4-466e6f9dbba4,https://raw.githubusercontent.com/italia/anpr-opendata/main/data/subentro_liste_elettorali_export.csv,text/csv,dati.gov.it,,,,
